"Type.of.feeding.interaction","Mean","Median","Type"
"insectivorous",-0.19768531886863,-0.155625491649087,"Log.Predator.Mass)"
"piscivorous",7.71223438647515,7.97246601597457,"Log.Predator.Mass)"
"planktivorous",-2.8444155291803,-3.83506196429202,"Log.Predator.Mass)"
"predacious",4.77986971956941,6.4118182677099,"Log.Predator.Mass)"
"predacious/piscivorous",6.06403752213459,6.38012253689976,"Log.Predator.Mass)"
"insectivorous",-2.97649490953736,-3.11903048989848,"Log.Prey.Mass"
"piscivorous",1.63552827510992,1.81807677754543,"Log.Prey.Mass"
"planktivorous",-12.2973266641226,-13.9524764130374,"Log.Prey.Mass"
"predacious",-3.3992920045753,-1.52326021619305,"Log.Prey.Mass"
"predacious/piscivorous",2.41088614444964,2.61006979274201,"Log.Prey.Mass"
"insectivorous",2.77880959066873,2.6155823718929,"Log.predator.prey.size.ratio"
"piscivorous",6.07670611136523,5.61677109766657,"Log.predator.prey.size.ratio"
"planktivorous",9.45291113494234,9.82552601106642,"Log.predator.prey.size.ratio"
"predacious",8.1791617241447,8.29090937545023,"Log.predator.prey.size.ratio"
"predacious/piscivorous",3.65315137768494,3.71028336277709,"Log.predator.prey.size.ratio"
